,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
1198,1,5180,-55,166.66666666666669,0,2.589227674527742,1987410699,2082301,303200674,1211702,-54.05
1200,1,5785,-76,83.33333333333334,0,26.01337111153868,1987410699,2082301,303200674,1211702,-13.3
1201,1,5180,-56,166.66666666666669,0,2.9051612332094843,1987410699,2082301,303200726,1211703,-54.93
1205,2,5240,-66,55.55555555555556,0,9.08173265245834,1987469492,2082437,303248663,1211891,10.67
1206,0,2412,-63,6.944444444444445,0,13.967629176678708,1987469492,2082437,303248663,1211891,39.67
1209,0,2452,-48,9.722222222222223,0,2.443315410323628,1987469492,2082437,303248663,1211891,51.02
1215,0,2452,-47,9.722222222222223,0,2.1776071516075706,1987469492,2082437,303248964,1211892,52.07
1219,1,5180,-61,138.88888888888889,0,5.166188403859711,1987469492,2082438,303249060,1211893,-40.98
1228,2,5240,-64,69.44444444444444,0,7.213876666065099,1988127462,2083473,303754265,1213485,3.01
1232,1,5180,-51,166.66666666666669,0,1.63369221777465,1989202093,2085818,304610904,1216419,-50.31
1235,2,5180,-62,69.44444444444444,0,5.7965587275314,1989202093,2085818,304610904,1216419,4.4
1239,0,2412,-62,6.944444444444445,0,12.448662607219172,1989202093,2085818,304611120,1216422,40.39
1240,0,2462,-69,5.555555555555555,0,27.30309947650554,1989202093,2085818,304611120,1216422,36.81
1241,0,2452,-45,9.722222222222223,0,1.7297348446594123,1989202093,2085818,304611120,1216422,54.22
1242,0,2452,-45,9.722222222222223,0,1.7297348446594123,1989202218,2085819,304611172,1216423,54.22
1243,1,5180,-52,166.66666666666669,0,1.8330328169926595,1989202278,2085820,304611172,1216423,-51.27
1246,0,2412,-62,6.944444444444445,0,12.448662607219172,1989202516,2085822,304611741,1216424,40.39
1250,1,5180,-51,166.66666666666669,0,1.63369221777465,1989202691,2085823,304611741,1216424,-50.31
1255,1,5180,-51,166.66666666666669,0,1.63369221777465,1989202795,2085825,304611741,1216424,-50.31
1258,2,5180,-62,69.44444444444444,0,5.7965587275314,1989205871,2085828,304611897,1216427,4.4
1271,0,2462,-89,1.3888888888888888,0,273.0309947650554,3067608929,2751491,254451025,985527,36.12
1283,0,2437,-88,1.3888888888888888,0,245.83542823609105,3067674582,2751649,254481452,985668,35.78
1284,2,5260,-79,27.77777777777778,0,40.41236397751149,2010603856,2105852,310896339,1230748,22.24
1292,1,2422,-75,4.166666666666666,0,55.37654564018864,2010603856,2105852,310896339,1230748,35.89
1294,0,2412,-81,2.7777777777777777,0,110.9488222719457,2010603856,2105852,310896339,1230748,34.26
1297,0,2437,-58,8.333333333333332,2,7.77399882788917,2010603856,2105852,310896339,1230748,44.64
1304,0,2437,-49,9.722222222222223,5,2.7583188720212,2010624076,2105897,310916559,1230793,55.0
1308,1,2412,-74,4.166666666666666,0,49.55901847735148,2010624184,2105898,310916667,1230794,36.27
1313,0,2437,-41,9.722222222222223,5,1.098106521624674,2010631884,2105913,310924367,1230809,63.77
1324,2,5785,-88,13.88888888888889,0,103.56109569772748,1662600179,1708545,221800445,892402,29.8
1326,0,2437,-72,5.555555555555555,0,38.9622896677143,1662600179,1708545,221800445,892402,34.97
1330,1,2432,-65,6.944444444444445,0,17.439596377898376,1662600179,1708545,221800641,892404,39.05
1335,0,2442,-70,5.555555555555555,0,30.885478945436976,1662600179,1708545,221800641,892404,35.98
1338,2,5745,-73,41.66666666666667,0,18.544279611271765,1662600472,1708547,221800641,892404,15.85
1344,1,2417,-79,2.7777777777777777,0,87.94746980625183,1662617061,1708571,221803685,892424,35.31
1350,2,5220,-88,13.88888888888889,0,114.77029475313304,1662617061,1708571,221803917,892426,29.46
1357,2,5805,-90,13.88888888888889,0,129.9265109125875,1663828294,1710085,221966192,893413,29.91
1360,1,2422,-78,4.166666666666666,0,78.22144980828197,1663828294,1710085,221966192,893413,34.65
1368,2,5220,-93,0.0,0,204.09365204359463,1663828414,1710087,221967434,893417,39.32
1372,0,2447,-69,5.555555555555555,0,27.470466248940205,1663831592,1710092,221967590,893420,36.52
1375,0,2412,-83,2.7777777777777777,0,139.67629176678713,1663834668,1710095,221967862,893424,33.82
1377,2,5180,-96,0.0,0,290.51612332094834,1663834668,1710095,221967978,893425,40.68
1381,1,2412,-83,2.7777777777777777,0,139.67629176678713,1663834668,1710095,221967978,893425,34.82
1389,1,2422,-78,4.166666666666666,0,78.22144980828197,1663873556,1710180,221992874,893469,34.65
1393,0,2437,-66,5.555555555555555,0,19.527402174346197,1663873556,1710180,221992874,893469,38.31
1396,1,2422,-79,2.7777777777777777,0,87.76591020714717,1663873556,1710180,221992874,893469,35.31
1397,2,5220,-93,0.0,0,204.09365204359463,1663873556,1710180,221992874,893469,39.32
1402,2,5785,-74,41.66666666666667,0,20.66315515425613,1663875380,1710182,221994075,893471,15.4
1407,1,2462,-70,5.555555555555555,0,30.634581472281496,1663875380,1710182,221994075,893471,36.99
1420,1,2432,-86,1.3888888888888888,0,195.67548971579657,1663980694,1710404,222056040,893616,35.93
1430,2,5220,-86,13.88888888888889,0,91.1652856300416,1664012923,1710479,222076589,893661,29.51
1431,2,5200,-95,0.0,0,257.9269106548791,1664013814,1710480,222076589,893662,40.14
1433,2,5785,-88,13.88888888888889,0,103.56109569772748,1664013814,1710480,222077197,893662,29.8
1440,0,2447,-66,5.555555555555555,0,19.447600776003963,1664013918,1710482,222077197,893662,38.31
1444,0,2437,-64,6.944444444444445,0,15.511166897899503,1664013918,1710482,222077197,893662,38.72
1448,2,5785,-80,27.77777777777778,0,41.22841478764224,1677789545,1723750,223275560,898603,22.09
1454,2,5180,-90,13.88888888888889,0,145.60297217134564,1677789545,1723750,223275736,898606,29.6
1461,0,2462,-81,2.7777777777777777,0,108.69559679932294,1677789752,1723753,223276068,898612,33.98
1465,2,5220,-94,0.0,0,228.99684399879675,1677789924,1723756,223277362,898617,39.7
1471,2,5180,-88,13.88888888888889,0,115.65655185547364,1677796177,1723764,223277854,898624,29.44
1472,0,2412,-83,2.7777777777777777,0,139.67629176678713,1677796177,1723764,223277854,898624,33.83
1491,1,2462,-68,5.555555555555555,0,24.333913022394547,1677838392,1723857,223298665,898706,38.11
1500,2,5180,-78,41.66666666666667,0,36.57381301846701,1677838392,1723857,223298665,898706,13.21
1502,1,2412,-88,1.3888888888888888,0,248.3834737194667,1677838392,1723857,223298665,898706,36.45
1510,0,2462,-70,5.555555555555555,0,30.634581472281496,1677838392,1723857,223298665,898706,36.0
1520,1,2462,-68,5.555555555555555,0,24.333913022394547,1677866031,1723929,223314717,898759,38.11
1533,2,5785,-86,13.88888888888889,0,82.26150233168825,1678278051,1724713,223488705,899394,29.9
1535,2,5180,-82,27.77777777777778,0,57.965587275314,1678278051,1724713,223488705,899394,21.06
1555,2,5240,-90,13.88888888888889,0,143.93576256633034,1678278149,1724714,223488837,899396,29.63
1557,2,5180,-69,55.55555555555556,0,12.976878554277343,1678278149,1724714,223488897,899397,8.48
1561,0,2412,-68,5.555555555555555,0,24.838347371946657,1678278209,1724715,223489001,899399,37.08
1575,2,5180,-74,41.66666666666667,0,23.076515939647063,1678335926,1724861,223524513,899518,14.86
1585,2,5180,-94,0.0,0,230.76515939647047,1678335926,1724861,223524513,899519,39.69
1586,0,2437,-67,5.555555555555555,0,21.910105604192708,1678336857,1724862,223525176,899520,37.69
1589,2,5180,-69,55.55555555555556,0,12.976878554277343,1678336857,1724862,223525176,899520,8.48
1593,0,2412,-68,5.555555555555555,0,24.838347371946657,1678336909,1724863,223525176,899520,37.08
1608,2,5180,-83,27.77777777777778,0,65.03845863735337,1678395794,1724982,223559246,899587,20.85
1624,2,5785,-74,41.66666666666667,0,20.66315515425613,1678468943,1725124,223594890,899691,15.41
1630,2,5180,-83,27.77777777777778,0,65.03845863735337,1678468995,1725126,223594890,899691,20.85
1662,0,2412,-71,5.555555555555555,0,35.085098209256586,1678657062,1725429,223652892,899925,35.45
1673,2,5785,-74,41.66666666666667,0,20.66315515425613,1678658045,1725431,223653552,899927,15.41
1674,1,2417,-61,6.944444444444445,0,11.07193046420907,1678658045,1725431,223653552,899927,41.87
1676,1,2412,-86,1.3888888888888888,0,197.2980062142689,1678658045,1725431,223653552,899927,35.95
1677,0,2412,-62,6.944444444444445,0,12.448662607219172,1678658045,1725431,223653552,899927,40.13
1682,2,5785,-95,0.0,0,231.8444140718013,1678658045,1725431,223653552,899927,40.21
1684,0,2412,-81,2.7777777777777777,0,110.9488222719457,1678658045,1725431,223653552,899927,33.97
1698,2,5785,-74,41.66666666666667,0,20.66315515425613,1678719227,1725564,223692264,900003,15.41
1699,1,2417,-61,6.944444444444445,0,11.07193046420907,1678719227,1725564,223692264,900003,41.87
1701,1,2412,-86,1.3888888888888888,0,197.2980062142689,1678719227,1725565,223692264,900003,35.95
1702,0,2412,-62,6.944444444444445,0,12.448662607219172,1678720118,1725565,223692264,900003,40.13
1707,2,5785,-95,0.0,0,231.8444140718013,1678721024,1725566,223693483,900005,40.21
1710,0,2462,-64,6.944444444444445,0,15.353661141422052,1678721024,1725566,223693483,900005,38.75
1712,0,2412,-71,5.555555555555555,0,35.085098209256586,1678721076,1725568,223693483,900005,35.45
1713,2,5785,-75,41.66666666666667,0,23.18444140718012,1678721128,1725568,223693483,900005,14.95
1714,0,2462,-80,2.7777777777777777,0,96.87505261840391,1678721128,1725568,223693483,900005,34.13
1718,2,5220,-85,13.88888888888889,0,81.25114634300544,1678723587,1725570,223693627,900007,29.61
1726,1,2412,-86,1.3888888888888888,0,197.2980062142689,1678724505,1725571,223694223,900008,35.95
1735,0,2462,-64,6.944444444444445,0,15.353661141422052,1678724557,1725572,223694333,900009,38.75
1746,0,2462,-65,6.944444444444445,0,17.22709114177449,1678771308,1725683,223725034,900103,38.08
1752,0,2412,-62,6.944444444444445,0,12.448662607219172,1678771308,1725683,223725034,900103,40.13
1767,0,2412,-69,5.555555555555555,0,27.869084125686825,1679049701,1726153,223820121,900479,36.51
1773,1,2417,-81,2.7777777777777777,0,110.71930464209063,1679049753,1726155,223820121,900480,34.97
1775,0,2447,-71,5.555555555555555,0,34.58326803462483,1679050644,1726155,223820727,900480,35.48
1781,2,5180,-77,41.66666666666667,0,32.59644516383691,1679050696,1726156,223820727,900480,13.58
1787,2,5220,-76,41.66666666666667,0,28.828994613074997,1679086162,1726229,223842766,900521,14.01
1797,2,5200,-92,0.0,0,182.5982690773459,1679086214,1726230,223842766,900521,39.03
1798,0,2437,-68,5.555555555555555,0,24.58354282360909,1679086214,1726230,223842766,900521,37.1
1803,0,2412,-69,5.555555555555555,0,27.869084125686825,1679092007,1726242,223846444,900528,36.51
1806,0,2417,-79,2.7777777777777777,0,87.94746980625183,1679092007,1726242,223846444,900528,34.32
1816,0,2437,-68,5.555555555555555,0,24.58354282360909,1679092982,1726244,223847060,900529,37.1
1818,0,2412,-75,4.166666666666666,0,55.60613330868036,1679092982,1726244,223847060,900529,34.6
1826,0,2437,-73,4.166666666666666,0,43.71640802903416,1679092982,1726244,223847060,900529,35.43
1829,0,2447,-71,5.555555555555555,0,34.58326803462483,1679093913,1726245,223847665,900530,35.48
1832,2,5220,-79,27.77777777777778,0,40.72203726469555,1679093913,1726245,223847665,900530,21.93
1834,0,2437,-68,5.555555555555555,0,24.58354282360909,1679094804,1726246,223848254,900531,37.1
1836,0,2412,-75,4.166666666666666,0,55.60613330868036,1679094804,1726246,223848254,900531,34.6
1838,0,2422,-80,2.7777777777777777,0,98.47497091102814,1679176014,1726442,223897558,900667,34.13
1840,0,2462,-63,6.944444444444445,0,13.683964896080044,1679176014,1726442,223898174,900668,39.45
1841,2,5220,-64,69.44444444444444,0,7.241516040264586,1679176014,1726443,223898174,900668,2.73
1844,0,2422,-83,2.7777777777777777,0,139.0995936174608,1679176905,1726444,223898786,900669,33.83
1847,1,2412,-71,5.555555555555555,0,35.085098209256586,1679177009,1726445,223898786,900669,36.45
1857,2,5745,-67,55.55555555555556,0,9.294156197983924,1679177009,1726445,223898838,900670,10.25
1863,2,5785,-80,27.77777777777778,0,41.22841478764224,1679219886,1726537,223925002,900722,22.09
1866,0,2462,-60,6.944444444444445,0,9.687505261840393,1679219886,1726537,223925617,900723,41.68
1868,0,2417,-66,5.555555555555555,0,19.68898597388568,1679219886,1726537,223925617,900723,38.3
1869,0,2462,-71,5.555555555555555,0,34.372565751716856,1679219886,1726537,223925617,900723,35.49
1875,2,5785,-93,0.0,0,184.16056416033925,1679220829,1726539,223926210,900724,39.5
1898,2,5745,-93,0.0,0,185.4427961127176,1679222788,1726543,223927480,900727,39.48
1902,0,2412,-75,4.166666666666666,0,55.60613330868036,1679222840,1726544,223927480,900727,34.61
1905,0,2462,-67,5.555555555555555,0,21.687622809674107,1679222840,1726544,223927480,900727,37.71
1914,2,5180,-66,55.55555555555556,0,9.186926466965572,1679293481,1726691,223971325,900804,10.35
1916,0,2462,-60,6.944444444444445,0,9.687505261840393,1679293481,1726691,223971325,900804,41.68
1917,2,5220,-71,55.55555555555556,0,16.211735034622027,1679294372,1726692,223971918,900805,7.38
1918,0,2417,-66,5.555555555555555,0,19.68898597388568,1679294372,1726693,223971918,900805,38.3
1932,0,2457,-87,1.3888888888888888,0,217.3175716622614,1679295459,1726696,223972578,900807,35.13
1940,2,5180,-66,55.55555555555556,0,9.186926466965572,1679295459,1726696,223972578,900807,10.35
1942,0,2412,-70,5.555555555555555,0,31.26962669351452,1679295459,1726696,223972578,900807,35.97
1947,0,2417,-75,4.166666666666666,0,55.49110200270464,1679295459,1726696,223972578,900807,34.61
1957,2,5785,-82,27.77777777777778,0,51.903499064153245,1679296435,1726698,223973188,900808,21.55
1962,2,5745,-93,0.0,0,185.4427961127176,1679296435,1726698,223973188,900808,39.48
1968,0,2422,-76,4.166666666666666,0,62.1335061437866,1679547107,1727149,224063360,901167,34.26
1975,2,5220,-47,97.2222222222222,0,1.0228913286861627,1679547159,1727150,224063360,901167,-0.32
1980,2,5785,-85,13.88888888888889,0,73.31564112540843,1679547159,1727150,224063360,901167,30.01
1991,0,2422,-76,4.166666666666666,0,62.1335061437866,1679601365,1727269,224093535,901241,34.26
1993,2,5785,-94,0.0,0,206.6315515425613,1679602256,1727269,224094137,901242,39.82
1994,0,2422,-78,4.166666666666666,0,78.22144980828197,1679602308,1727270,224094137,901242,33.66
1998,2,5220,-47,97.2222222222222,0,1.0228913286861627,1679602360,1727271,224094137,901242,-0.32
2003,2,5785,-85,13.88888888888889,0,73.31564112540843,1679602360,1727271,224094137,901242,30.01
2005,0,2412,-81,2.7777777777777777,0,110.9488222719457,1679603279,1727272,224094801,901244,33.98
2010,0,2447,-81,2.7777777777777777,0,109.36189592150924,1679647573,1727365,224121529,901298,33.98
2011,0,2462,-60,6.944444444444445,0,9.687505261840393,1679647625,1727366,224121529,901298,41.68
2022,0,2412,-54,8.333333333333332,0,4.955901847735148,1679647677,1727367,224121581,901300,45.79
2026,2,5785,-85,13.88888888888889,0,73.31564112540843,1679648670,1727369,224122245,901301,30.01
2033,0,2472,-77,4.166666666666666,0,68.30484868473911,1679696234,1727486,224152604,901372,33.96
2039,2,5785,-82,27.77777777777778,0,51.903499064153245,1679696234,1727486,224152604,901372,21.55
2042,0,2437,-70,5.555555555555555,0,30.948846772571624,1679696414,1727489,224152656,901373,35.98
2047,0,2472,-77,4.166666666666666,0,68.30484868473911,1679727747,1727563,224172351,901419,33.96
2049,2,5220,-76,41.66666666666667,0,28.828994613074997,1679727747,1727563,224172955,901420,14.01
