,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
540,2,5805,-85,13.88888888888889,0,73.06304632394281,1455604032,1263199,67929680,311463,29.28
543,0,2462,-89,1.3888888888888888,0,273.0309947650554,1455604032,1263199,67929680,311463,35.02
544,1,2417,-93,0.0,0,440.78149096713406,1455604032,1263199,67929680,311463,39.52
545,1,2427,-89,1.3888888888888888,0,276.9684009524379,1455604032,1263199,67929680,311463,36.07
550,1,2417,-93,0.0,0,440.78149096713406,1455665131,1263328,67957502,311570,39.52
554,0,2447,-93,0.0,0,435.3775495167811,1455695221,1263393,67968853,311630,38.44
556,1,2417,-93,0.0,0,440.78149096713406,1455695221,1263393,67968853,311630,39.52
561,0,2462,-89,1.3888888888888888,0,273.0309947650554,1455754029,1263506,67997420,311716,35.02
562,1,2417,-93,0.0,0,440.78149096713406,1455754029,1263506,67997420,311716,39.52
567,0,2462,-84,2.7777777777777777,0,153.53661141422052,1455955595,1263929,68218786,312145,33.08
569,0,2447,-92,0.0,0,388.03064944920254,1455955595,1263929,68219408,312145,37.64
580,0,2447,-73,4.166666666666666,0,43.5377549516781,1455955699,1263931,68219408,312145,34.69
594,0,2437,-81,2.7777777777777777,0,109.81065216246742,1456024212,1264057,68248905,312234,33.23
607,0,2462,-84,2.7777777777777777,0,153.53661141422052,1456026198,1264062,68250810,312238,33.08
610,0,2447,-73,4.166666666666666,0,43.5377549516781,1456027131,1264063,68251416,312239,34.69
615,0,2437,-71,5.555555555555555,0,34.725177218189124,1456113913,1264226,68288636,312350,34.73
628,0,2437,-81,2.7777777777777777,0,109.81065216246742,2057881354,2202635,368536581,1522531,34.38
651,0,2447,-50,9.722222222222223,3,3.082237007959015,15935,71,31090,143,40.91
652,0,2447,-50,9.722222222222223,4,3.082237007959015,17011,73,33242,147,41.97
657,0,2447,-50,9.722222222222223,5,3.082237007959015,72044,456,85345,568,44.5
658,0,2447,-50,9.722222222222223,5,3.082237007959015,72140,457,85345,568,44.5
664,0,2417,-44,9.722222222222223,5,1.5639517472147748,30663,427,7777,104,49.42
674,0,2412,-88,1.3888888888888888,0,248.3834737194667,2200091920,2333589,380295366,1594248,35.92
682,0,2437,-89,1.3888888888888888,0,275.83188720212,2200133138,2333705,380319451,1594364,36.26
701,0,2437,-85,1.3888888888888888,0,174.03815507200977,2200416851,2334223,380440363,1594921,35.26
723,0,2437,-94,0.0,0,490.50616564370864,1325199319,1392620,196554536,817286,39.96
751,0,2447,-50,9.722222222222223,5,3.082237007959015,13561,53,25350,97,42.63
760,0,2447,-50,9.722222222222223,5,3.082237007959015,21343,86,34601,205,43.18
762,0,2447,-50,9.722222222222223,5,3.082237007959015,21383,87,35271,215,43.2
765,0,2462,-76,4.166666666666666,0,61.12402594648713,47171653,85630,26170025,90043,31.24
769,0,2452,-63,6.944444444444445,0,13.739772256993904,47171653,85630,26170025,90043,36.41
773,0,2437,-81,2.7777777777777777,0,109.81065216246742,47171653,85630,26170025,90043,30.94
779,0,2462,-69,5.555555555555555,0,27.30309947650554,47171653,85630,26170025,90043,33.51
786,2,5200,-36,97.2222222222222,5,0.2893987536158682,47171653,85630,26170025,90043,14.48
789,1,2442,-78,4.166666666666666,0,77.58081549371794,47171653,85630,26170025,90043,31.63
793,0,2412,-78,4.166666666666666,0,78.54575100980888,47171653,85630,26170025,90043,30.62
799,2,5805,-87,13.88888888888889,0,91.98092568030604,47171653,85630,26170025,90043,26.81
800,0,2437,-60,6.944444444444445,0,9.78688467568775,47171653,85630,26170025,90043,38.62
804,0,2417,-83,2.7777777777777777,0,139.38734619010782,47171653,85630,26170025,90043,30.79
809,0,2422,-81,2.7777777777777777,0,110.49073464902268,47171653,85630,26170025,90043,30.94
811,1,2457,-68,5.555555555555555,0,24.38343258491468,47171653,85630,26170025,90043,35.08
813,2,5200,-35,97.2222222222222,5,0.2579269106548792,47171653,85630,26170025,90043,15.77
876,0,2462,-70,5.555555555555555,0,30.634581472281496,1552136879,1578200,197589443,807768,35.89
880,0,2437,-86,1.3888888888888888,0,195.27402174346196,1552136879,1578200,197589443,807768,34.83
891,1,2437,-86,1.3888888888888888,0,195.27402174346196,1552137110,1578201,197589831,807772,35.83
892,2,5220,-84,27.77777777777778,0,72.41516040264584,1552137328,1578202,197589831,807772,20.6
899,1,2422,-89,1.3888888888888888,0,277.54017717240544,1552137328,1578202,197589831,807772,36.71
906,0,2427,-75,4.166666666666666,0,55.26246128575902,1552186256,1578305,197611119,807869,34.5
911,2,5180,-91,0.0,0,163.36922177746496,1552186256,1578305,197611119,807869,38.69
916,1,2452,-75,4.166666666666666,0,54.699018572812825,1552186256,1578305,197611119,807869,35.52
919,1,2422,-55,8.333333333333332,0,5.537654564018865,1552235482,1578408,197634343,807955,45.79
920,0,2462,-75,4.166666666666666,0,54.47684546731806,1552235482,1578408,197634343,807955,34.52
922,0,2427,-75,4.166666666666666,0,55.26246128575902,1552235482,1578408,197634343,807955,34.5
932,1,2452,-75,4.166666666666666,0,54.699018572812825,1552236170,1578410,197635250,807957,35.52
933,2,5180,-89,13.88888888888889,0,129.76878554277337,1552236170,1578410,197635302,807958,29.39
935,1,2422,-61,6.944444444444445,0,11.049073464902262,1552288144,1578534,197662870,808066,41.77
943,2,5220,-87,13.88888888888889,0,102.28913286861624,1552288144,1578534,197662870,808066,29.36
948,1,2422,-61,6.944444444444445,0,11.049073464902262,1552327829,1578628,197683685,808142,41.77
952,1,2422,-80,2.7777777777777777,0,98.47497091102814,1552327829,1578628,197684396,808144,35.01
961,1,2422,-70,5.555555555555555,0,31.14052005976753,1552378755,1578767,197707822,808274,36.86
965,0,2437,-76,4.166666666666666,0,61.7510676570584,1552380196,1578769,197709063,808277,34.15
968,0,2412,-79,2.7777777777777777,0,88.12978214001267,1552380248,1578770,197709063,808277,34.21
969,2,5180,-90,13.88888888888889,0,145.60297217134564,1552380248,1578770,197709063,808277,29.49
