ChannelBandwidth,Freq,Level,RSSI,SSID,Secured,_id,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets
0,2462,3,-76,OnePlus Nord CE 2,2,646f18c7544d7a9fd1966e1a,4.166666666666666,0,61.12402594648713,523316916,534892,68809875,268426
0,2412,2,-79,BMS_Students,2,646f18c8544d7a9fd1966e1b,2.7777777777777777,0,88.12978214001267,197084498,305019,44696483,198098
0,2437,4,-70,bin,2,646f18c8544d7a9fd1966e1c,5.555555555555555,0,30.948846772571624,523316916,534892,68809875,268426
0,2412,2,-80,BMSCE,2,646f18c8544d7a9fd1966e1d,2.7777777777777777,0,98.8832419347058,197084498,305019,44696483,198098
0,2442,1,-92,Devika M Reddy,2,646f18c8544d7a9fd1966e1e,0.0,0,388.82514299844314,523316916,534892,68809875,268426
0,2412,2,-80,visitor,2,646f18c9544d7a9fd1966e1f,2.7777777777777777,0,98.8832419347058,197084498,305019,44696483,198098
0,2412,2,-83,DIRECT-72-HP Laser 178nw,2,646f18c9544d7a9fd1966e20,2.7777777777777777,0,139.67629176678713,523316916,534892,68809875,268426
1,2417,1,-86,Jio-Fi,2,646f18c9544d7a9fd1966e21,1.3888888888888888,0,196.8898597388567,197084498,305019,44696483,198098
0,2412,2,-82,DIRECT-72-HP Laser 178nw,2,646f18ca544d7a9fd1966e22,2.7777777777777777,0,124.48662607219173,197084498,305019,44696483,198098
0,5260,1,-88,ANBAP1_162,2,646f18ca544d7a9fd1966e23,Infinity,0,113.8975168462649,197084498,305019,44696483,198098
1,2457,2,-81,TP-Link_VGST,2,646f18ca544d7a9fd1966e24,2.7777777777777777,0,108.91679256000535,197084498,305019,44696483,198098
0,2457,2,-82,Lab01,2,646f18cb544d7a9fd1966e25,2.7777777777777777,0,122.20665123570474,197084498,305019,44696483,198098
0,2412,2,-85,VIRUS,2,646f18cb544d7a9fd1966e26,1.3888888888888888,0,175.8420331303846,197084498,305019,44696483,198098
0,2437,2,-81,DIRECT-OLSHARATHRAVIKmsZK,2,646f18cc544d7a9fd1966e27,2.7777777777777777,0,109.81065216246742,197084498,305019,44696483,198098
0,2462,2,-83,Sara,2,646f18cc544d7a9fd1966e28,2.7777777777777777,0,136.83964896080045,197084498,305019,44696483,198098
0,2462,6,-55,OnePlus Nord CE 2,2,646f18cc544d7a9fd1966e29,8.333333333333332,0,5.447684546731805,197084498,305019,44696483,198098
0,2437,2,-79,bin,2,646f18cd544d7a9fd1966e2a,2.7777777777777777,0,87.22570148613484,197084498,305019,44696483,198098
0,2462,2,-80,soldier,2,646f18cd544d7a9fd1966e2b,2.7777777777777777,0,96.87505261840391,197084498,305019,44696483,198098
1,2472,3,-77,BILIGIRIS,2,646f18ce544d7a9fd1966e2c,4.166666666666666,0,68.30484868473911,197101444,305070,44704382,198148
0,2412,2,-81,DIRECT-72-HP Laser 178nw,2,646f18cf544d7a9fd1966e2d,2.7777777777777777,0,110.9488222719457,197101444,305070,44704382,198148
1,2457,2,-85,TP-Link_VGST,2,646f18cf544d7a9fd1966e2e,1.3888888888888888,0,172.62148307305162,197101444,305070,44704382,198148
0,2457,2,-84,Lab01,2,646f18cf544d7a9fd1966e2f,2.7777777777777777,0,153.8490587308958,197101444,305070,44704382,198148
0,2412,2,-85,BMSCE,2,646f18d0544d7a9fd1966e30,1.3888888888888888,0,175.8420331303846,197101444,305070,44704382,198148
0,5745,1,-87,BMSCE,2,646f18d1544d7a9fd1966e31,Infinity,0,92.94156197983924,197101444,305070,44704382,198148
0,2412,2,-83,Visitor,2,646f18d1544d7a9fd1966e32,2.7777777777777777,0,139.67629176678713,197101444,305070,44704382,198148
0,2412,2,-82,VIRUS,2,646f18d2544d7a9fd1966e33,2.7777777777777777,0,124.48662607219173,197101444,305070,44704382,198148
0,2437,2,-82,DIRECT-OLSHARATHRAVIKmsZK,2,646f18d3544d7a9fd1966e34,2.7777777777777777,0,123.2095782052222,197101444,305070,44704382,198148
0,2462,2,-80,Sara,2,646f18d3544d7a9fd1966e35,2.7777777777777777,0,96.87505261840391,197101444,305070,44704382,198148
0,2462,3,-76,OnePlus Nord CE 2,2,646f18d3544d7a9fd1966e36,4.166666666666666,0,61.12402594648713,197101444,305070,44704382,198148
0,2437,3,-74,bin,2,646f18d4544d7a9fd1966e37,4.166666666666666,0,49.05061656437086,197101444,305070,44704382,198148
0,2462,2,-80,soldier,2,646f18d4544d7a9fd1966e38,2.7777777777777777,0,96.87505261840391,197101444,305070,44704382,198148
